case_id,condition,status,error_message,patch_path,operation_index,operation_type,source_state,event,target_state,failure_class
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('CreditAvailable', 'coffee_pressed'); existing target 'Dispensing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03/E/ollama/patch.json,0,add_transition,CreditAvailable,coffee_pressed,Dispensing,duplicate_transition
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r01,D,patch_application_error,patch application failed: operation[0] update_transition: old_to and new_to must differ (both 'Locked'),/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r01/D/ollama/patch.json,0,update_transition,Unlocked,lock_command,Locked,invalid_operation_semantics
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,D,patch_application_error,patch application failed: operation[0] update_transition: old_to and new_to must differ (both 'Locked'),/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,update_transition,Unlocked,lock_command,Locked,invalid_operation_semantics
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('Unlocked', 'lock_command'); existing target 'Locked'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02/E/ollama/patch.json,1,add_transition,Unlocked,lock_command,Locked,duplicate_transition
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[1] update_transition: no transition 'Available' --return--> 'Maintenance'; no (from, event) match",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01/C/ollama/patch.json,1,update_transition,Available,return,Rented,transition_not_found
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,D,patch_application_error,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01/D/ollama/patch.json,0,update_transition,Rented,return_bike,Reserved,transition_not_found
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,update_transition,Rented,return_bike,Reserved,transition_not_found
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,C,patch_application_error,"patch application failed: operation[1] update_transition: no transition 'Available' --return--> 'Maintenance'; no (from, event) match",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03/C/ollama/patch.json,1,update_transition,Available,return,Rented,transition_not_found
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,D,patch_application_error,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03/D/ollama/patch.json,0,update_transition,Rented,return_bike,Reserved,transition_not_found
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,D,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01/D/ollama/patch.json,1,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01/E/ollama/patch.json,1,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02/D/ollama/patch.json,1,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02/E/ollama/patch.json,1,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Moving', 'door_opened'); existing target 'DoorOpen'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03/D/ollama/patch.json,0,add_transition,Moving,door_opened,DoorOpen,duplicate_transition
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03/E/ollama/patch.json,1,add_transition,DoorOpen,close_door_command,Closing,duplicate_transition
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01,C,patch_application_error,patch application failed: operation[0] update_transition: no transition 'BookingHeld' --confirm_payment--> 'NoBooking'; targets: ['Confirmed'],/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01/C/ollama/patch.json,0,update_transition,BookingHeld,confirm_payment,Confirmed,transition_not_found
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01,D,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'NoBooking'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01/D/ollama/patch.json,1,add_transition,NoBooking,select_room,SearchResults,duplicate_transition
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'NoBooking'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01/E/ollama/patch.json,1,add_transition,NoBooking,select_room,SearchResults,duplicate_transition
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02,D,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'SearchResults'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02/D/ollama/patch.json,1,add_transition,NoBooking,select_room,SearchResults,duplicate_transition
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02,E,patch_application_error,"patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'SearchResults'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02/E/ollama/patch.json,1,add_transition,NoBooking,select_room,SearchResults,duplicate_transition
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,Loaded,LoadPackage,Rejected,missing_state
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,D,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Open' --Vehicle_Detection--> 'Open' is rejected,/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01/D/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Open,invalid_operation_semantics
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01/E/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02/C/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02/E/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03/C/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03/D/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03/E/ollama/patch.json,0,add_transition,Open,Vehicle_Detection,Closed,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01/D/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01/E/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,C,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02/C/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02/E/ollama/patch.json,0,add_transition,RouteSelected,Pay,TicketIssued,duplicate_transition
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01,C,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Stocked' --ReceiveStock--> 'Stocked' is rejected,/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01/C/ollama/patch.json,0,add_transition,Stocked,ReceiveStock,Stocked,invalid_operation_semantics
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01,E,patch_application_error,"patch application failed: operation[2] add_transition: duplicate (from, event) ('Allocated', 'CancelAllocation'); existing target 'Stocked'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01/E/ollama/patch.json,2,add_transition,Allocated,CancelAllocation,Stocked,duplicate_transition
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,C,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Stocked' --ReceiveStock--> 'Stocked' is rejected,/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02/C/ollama/patch.json,0,add_transition,Stocked,ReceiveStock,Stocked,invalid_operation_semantics
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02/D/ollama/patch.json,0,add_transition,Stocked,Allocate,Allocated,duplicate_transition
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,E,patch_application_error,"patch application failed: operation[2] add_transition: duplicate (from, event) ('Allocated', 'CancelAllocation'); existing target 'Stocked'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02/E/ollama/patch.json,2,add_transition,Allocated,CancelAllocation,Stocked,duplicate_transition
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03,D,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03/D/ollama/patch.json,0,add_transition,Stocked,Allocate,Allocated,duplicate_transition
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03,E,patch_application_error,"patch application failed: operation[2] add_transition: duplicate (from, event) ('Allocated', 'CancelAllocation'); existing target 'Stocked'",/home/cesar/papers/ist2026b/paper/experiments/diagnostic_granularity_pilot_diverse_operation_aware_001/runs/repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03/E/ollama/patch.json,2,add_transition,Allocated,CancelAllocation,Stocked,duplicate_transition
